STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-09,0,72,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-10,0,75,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-11,0,78,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-12,0,76,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-13,0.17,75,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-14,0.29,71,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-15,0.21,80,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-16,0.11,83,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-17,0,81,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-18,0,76,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-19,0.91,70,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-20,0.32,70,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-21,0,95,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-22,0,95,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-23,0,78,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-24,0,69,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-25,0,71,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-26,0,71,58
